name,label
nand kishor  puppu,indian
klaus-peter weinhold-hartmann,non_indian
menu kashyap,indian
kalyani banodha,indian
irfan mohmmad,indian
adrian tveit,non_indian
ramesh chander gupta,indian
smt jaya,indian
dochia,non_indian
sumit agarwal,indian
holly anderson,non_indian
elizabeth chapman,non_indian
rada,indian
craig,non_indian
camelia stan,non_indian
mary campbell,non_indian
gulesta,indian
shri kumar parthi,indian
annaliese,non_indian
amjat  najru,indian
kavita gupta,indian
mantu,indian
cosmina,non_indian
jay,indian
maneesha,indian
umang gupta,indian
kimberly williams,non_indian
chanda lal soni,indian
joe nelson,non_indian
brittany herrera,non_indian
crystal,non_indian
bagaram,indian
augusto,non_indian
heather curry,non_indian
arian,non_indian
neelam,indian
richard norris,non_indian
nitin dixit,indian
brandon,non_indian
amanda,non_indian
krish,non_indian
ghanshyam giri,indian
mr derek allen,non_indian
elizabeth campbell,non_indian
jemma rogers-nicholson,non_indian
binder singh,indian
shanti gosai,indian
matthew silva,non_indian
suresh durg,indian
mackenzie wilson,non_indian
michelle nelson,non_indian
juber,indian
simabharti,indian
parshu ram singh,indian
vinay kumar upadhayay,indian
babul al,indian
diwan singh,indian
peter mathews,non_indian
denise,non_indian
thomas ferguson,non_indian
bisto,indian
ann black,non_indian
pool kumari,indian
edward,non_indian
akram rijwi,indian
jayotli,indian
bheem pal,indian
ravinder singh,indian
shakuntla devi,indian
matthew lawson,non_indian
mohd tanveer,indian
bharat singh,indian
amy wheeler,non_indian
shaid,indian
miguel montoya,non_indian
brandon stevens,non_indian
mudrika,indian
katrina johnson,non_indian
smt amarin bano,indian
manoj  vajpay,indian
sakshi vaid,indian
savitri jatav,indian
mari jakobsen,non_indian
ishtkar,indian
jamie martinez,non_indian
nimmy,indian
tilly,non_indian
sarah thompson,non_indian
naushad,indian
sarkar govinda,indian
pramal mishra,indian
kumari maya,indian
melissa wagner,non_indian
pardeep mohauti,indian
pavnesh,indian
resham yadav,indian
asgari parveen,indian
md. basir,indian
varsa,indian
pooja chawriya,indian
indu devi,indian
taranjeet kaur,indian
smt. soniya,indian
mark,non_indian
emma mikkelsen,non_indian
victor byrne,non_indian
shima,indian
tor-erling,non_indian
aavesh kumar,indian
kevin,non_indian
turid,non_indian
renee hansen,non_indian
blair dickson,non_indian
